date,trend,HL1,HL2,HL3,HL4,HL5,HL6,HL7,HL8,HL9,HL10,HL11,HL12,HL13,HL14,HL15,HL16,HL17,HL18,HL19,HL20
9/23/2016,0, 2016 The Hill: Obama Used Fake Address When Emailing Clinton, 2016 Hillary Cancels Charlotte Trip After Mayor Urges 'Later' Visit for Both Candidates, 2016 Trump: Obama's Veto of 9/11 Bill 'Shameful', 2016 CNN: Loaded Gun Found in NC Had Fingerprints Matching Victim, 2016 Tim Kaine Rips Cruz's Trump Endorsement Referencing Attacks on Father, 2016 Hillary Clinton Postpones Trip to Charlotte, 2016 Obama Vetoes 9/11 Bill Possible Override by Congress Looms, 2016 Frank Luntz: How Donald Trump Can Defeat Hillary Clinton in the First Debate, 2016 Frank Luntz: How Hillary Clinton Can Defeat Donald Trump in the First Debate, 2016 Hillary: Release Charlotte Shooting Video 'Without Delay', 2016 GOP Slams Clinton Aides Getting Immunity in Email Probe, 2016 Politico: Christie Could Be Impeached Over Bridge-gate, 2016 In About-Face Sen. Ted Cruz Endorses Trump, 2016 Clinton Campaign: Hillary Would Sign 9/11 Bill if She Were President, 2016 State Dept. Reveals FBI Uncovered 2800 More Emails That Clinton Never Turned Over, 2016 Rasmussen Poll: 15% Believe Edward Snowden Is a Hero, 2016 Video Taken By Keith Scott's Wife Shows Moments Leading Up to Charlotte Shooting, 2016 Napoleon Harris: Ex-NFL Player Helps Catch Murder Suspects After Robbery, 2016 Daily Caller: John Kerry Aware State Dept. Siphoned Millions to Daughter's Charity, 2016 Texas AG: State Will Pull Out of Refugee Program If Plan Isn't Approved
9/22/2016,0, 2016 Journalist: Man Died From 'Protester-on-Protester Violence', 2016 Obama's 'Deterrence Strategy Has Failed' Amid Illegals Surge Official Says, 2016 Troops Extra Police in Charlotte to Prevent More Clashes, 2016 Ronald Reagan Auction Rakes In A Staggering $5.7 Million, 2016 Family: More Questions Than Answers After Seeing Video of Charlotte Police Shooting, 2016 UPDATE 9-Family Sees Video of Charlotte Police Shooting Black Man Dead, 2016 Richard Sherman Says Message of Anthem Protests Getting Lost, 2016 Charlotte Police Chief: Video Doesn't Show Shooting Victim With Gun, 2016 Feds Want Weiner Phone Records Amid Alleged Underage Sexts, 2016 Sen. Tim Scott: Immediate Release of Charlotte Shooting Video Will Bring Calm, 2016 Michael Savage: Why Does Terror Indictment Not Mention ISIS?, 2016 Tulsa Officer Charged with Manslaughter for Fatal Shooting Seen on Video, 2016 Tulsa Officer Charged with Manslaughter for Fatal Shooting Seen on Video, 2016 Tulsa Officer Charged with Manslaughter for Fatal Shooting Seen on Video, 2016 Tulsa Officer Charged with Manslaughter for Fatal Shooting Seen on Video, 2016 Lawyer: Scott Family Unsure About Making Charlotte Police Video Public, 2016 Terrorism Experts Question FBI Training in Light of Domestic Attacks, 2016 Defense Secretary Carter: ISIS Moving to Develop Chemical Weapons, 2016 Ex-CIA Director: Trump 'Cares More About Himself' Than Country, 2016 Accused NY Bomber's Wife Back; Lawyer Seeks Access to Suspect
9/21/2016,1, 2016 Gingrich: Charlotte Protests an 'American Tragedy' Hillary Is 'Anti-Police', 2016 Obama Calls Charlotte Tulsa Mayors After Recent Deaths Protests, 2016 Police Seek 2 Passersby Who Handled NY Pressure Cooker Bomb, 2016 Lawmakers Blast Mylan CEO Over 'Sickening' EpiPen Price Hikes, 2016 Rep. Mike McCaul: NY Bomber's Journal Reads 'Like a Confession', 2016 Iran's Rouhani: If US Continues 'Animosity' After November Iran Will Issue 'Appropriate Response', 2016 Crime-plagued Chicago to Add Nearly 1000 Police Officers, 2016 NATO Secretary Gen. Scoffs at Trump's Claim He's Terror Policy Catalyst, 2016 Rep. Mike McCaul: Iraqi Attack Shows ISIS Can Use Chemical Weapons on Americans, 2016 Gallup Poll: 56 Percent Trust Fellow Americans 42 Percent Trust Political Leaders, 2016 CNN: ISIS Attacks US Iraqi Forces With Chemical Weapon, 2016 Chris Christie: Hillary Is 'Kind of Politician That Law Enforcement Loathes', 2016 London's Muslim Mayor: Terrorism 'Part and Parcel of Living in a Great Global City', 2016 National Academy of Sciences Study: Immigration a Massive Drain on Government, 2016 Trump 'Very Troubled' by Tulsa Police Shooting, 2016 Sheriff Joe Arpaio: Obama's Birth Certificate Was Forged, 2016 Poll: Nearly 60% of Voters Oppose Obamacare for Illegal Immigrants, 2016 Daily Mail Report: Weiner Sexted With 15-Year-Old Girl, 2016 Fed Leaves Rates Unchanged Signals 2016 Hike Is Still Likely, 2016 Democrats Show Cracks in Overriding Veto for 9/11 Bill
9/20/2016,0, 2016 Trump Campaign Rebukes WashPost Story on Foundation, 2016 Police Chief on Man Killed by Charlotte Cops: 'We Did Find a Weapon', 2016 UPDATE 2-Police in Charlotte N. Carolina Fatally Shoot Man They Say Was Armed, 2016 UPDATE 2-Police in Charlotte N. Carolina Fatally Shoot Man They Say Was Armed, 2016 WashPost: Trump's 'Apprentice' Charity Pledges Rarely Came From Him, 2016 Hillary Clinton's 'Tonight Show' Interview Was Less Disliked Than Donald Trump's, 2016 Sen. Dianne Feinstein: US Must Be 'Transparent' With Russia on Syrian Airstrike, 2016 Gloria Steinem: 'Forced Childbirth Single Biggest Cause of Global Warming', 2016 Civilian Panel: LAPD Violated Deadly Force Rules in Two Fatal '15 Shootings, 2016 Official: US Believes Russia Struck Syria Aid Convoy, 2016 Expert: Republicans Seem Likelier to Hold on to Senate, 2016 Air Force Head to NATO: 'We Will Stand With You', 2016 Ex-Defense Secretary Rumsfeld: Rice Email Criticism 'Juvenile', 2016 21 GOP-Led States Sue Labor Department on New 'Overtime Rule', 2016 Rand Paul: Block Sales of Arms to 'Frenemy' Saudi Arabia, 2016 Variety: Megyn Kelly to Produce Comedy Series Set on Presidential Campaign Trail, 2016 Daily Caller: Clinton Foundation Gave 'Watered-Down' Drugs to Third World Countries, 2016 Poll: Voters Oppose Obama's New Refugee Plan, 2016 Walid Phares: US Needs to Identify Radical Islam's Ideology, 2016 Stephen Moore: Obama's False Victory Lap on Income
9/19/2016,1, 2016 Police Increase Stabbing Toll to 10 in Minnesota Mall Attack, 2016 Foreign Desk: Pro-ISIS Bomb Making Videos Posted Sunday Morning, 2016 Scarborough Brzezinski Meet With Trump to Patch Feud: CNNMoney, 2016 Rep. Peter King: 'New York City Is Safe', 2016 UN Confirms Aid Convoy Struck in Syria's Aleppo Region, 2016 John Kerry: I Will Have No Role in Clinton Administration, 2016 Charlotte Observer: NC Gov. McCrory Fed 'Planted Questions' on Bathroom Law at Event, 2016 FAA May Take Satellite Safety Job, 2016 Rasmussen: Most Voters Support Government-Paid Maternity Leave, 2016 Florida Declares Neighborhood Zika Free; CDC Remains Cautious, 2016 This Year's Presidential Debates Key to Capturing the Undecideds, 2016 Study: More Children Who Commit Suicide Have ADD, 2016 Why Narcotic Painkillers Do More Harm Than Good, 2016 Rep. Mike Pompeo: Obama Administration 'Laundered' Cash Payments to Iran, 2016 20 Percent of Syrian Refugees Settled in NY Area; Obama Pushes for More, 2016 CIA Director John Brennan: ISIS Could Carry Out More Attacks, 2016 Bill Clinton to NPR: 'Maybe' Some Money Used to Influence State Dept., 2016 Hillary’s Health Scare Leaves Democrats Scrambling, 2016 Charlotte Mayor: Council Not Prepared to Weigh Pro-LGBT Rule, 2016 More than 800 Immigrants Mistakenly Granted Citizenship
9/16/2016,1, 2016 WashPost: Vladimir Putin Seeking Revenge Respect With Russian Hacks, 2016 Jimmy Fallon Wears Medical Mask While Greeting Hillary Clinton, 2016 Drudge Report Hits Back on Hillary's Birther Claim With Video Article From 2008, 2016 Koch Brothers Plan Major Expansion of Conservative Network, 2016 ISIS Fighter Behind Execution Videos Killed in Airstrike, 2016 Colin Powell Discusses Secret Israeli Nukes in Leaked 2015 Email, 2016 TNT Traces Found on EgyptAir Plane Debris from May Catastrophe, 2016 Economist Larry Kudlow: Trump Kennedy-esque Reagan-esque, 2016 Wash Post: Trump Helped by FBI Informant Agent Since '80s, 2016 Journalist: Sidney Blumenthal Raised Obama Birther Issue in 2008, 2016 Wall Street Thinks It's High Time to Monetize Marijuana, 2016 Tribute in Light: Heavenly Figure Appears in Clouds of 9/11 Ground Zero Memorial Photo, 2016 Michelle Obama Takes Swipes at Trump on Birther Issue, 2016 Scientist Who Named Parasite After Obama: It Was Intended as an 'Honor', 2016 NYT Editorial Calls Missouri 'The Shoot-Me State' After Gun Rights Bill Passes, 2016 Should GM Mosquitoes Be Used to Fight Zika?, 2016 Elizabeth Warren Slams Trump Over Birther Comments, 2016 Biden Unveils 'Cancer Moonshot' Clinical Trials Database, 2016 US Will Pay $1.1 Million to Drone Victim's Family, 2016 Largest Police Union Endorses Trump
9/15/2016,1, 2016 Trump Allows Jimmy Fallon to Mess Up His Hair, 2016 Senate Approves Bill for Water Projects; Millions for Flint, 2016 Study: High Taxes Driving Out New Yorkers in Record Numbers, 2016 BU Professor to Newsmax: Jake Tapper Ripping Trump Interviewers 'Not The Smartest Thing', 2016 France's Sarkozy Says Population Bigger Threat than Climate Change, 2016 Ex-Navy Commander: Russia Iran Using Aggression to Influence Election, 2016 Missouri Concealed Carry Veto Shot Down; No Permit Needed, 2016 Google-Powered System Helps Governments Spy on Fishing Boats, 2016 Judicial Watch: State Dept. Had 17 FOIA Requests for Hillary in 2013, 2016 California Dems Push For Obamacare Exemption for Illegals, 2016 Ford CEO on Trump Attacks: Moving to Mexico 'About Global Competitiveness', 2016 John McCain: There's a $250 Billion Gap in Military Budget, 2016 Franklin Graham on ACC's North Carolina Pullout: 'Profound Hypocrisy', 2016 Financial Times: US Gives Mexico $75M Aid for an Anti-Immigrant Wall, 2016 Trump Jr: If GOP Acted Like Clinton Media Would Be 'Warming Up the Gas Chamber', 2016 Trump Says He'll Grow US Economy More Than 4 Percent, 2016 Report: IRS Tightens Noose on Small Companies, 2016 Ford Small-Car Production Mexico-Bound in a Move That Riles Trump, 2016 Small Implanted Device Targets Breast Cancer, 2016 Clinton May Reject Garland for Supreme Court
9/14/2016,1, 2016 Rubio: Terrorists Could Attack US on Cuban Flights, 2016 Wash Post: Trump Might Be in Violation of IRS' 'Self-Dealing', 2016 Chelsea Clinton on Sick Hillary: 'I Don't Think I've Ever Seen Her So Tired', 2016 Arrest Made for Fire at Florida Mosque Where Gunman Prayed, 2016 In Move for 'Stability' Fox News Co-presidents Sign Multi-Year Deals, 2016 Fox News' Recently Named Co-presidents Sign New Contracts, 2016 Rep. Mike McCaul Walks Back Comments on Russia Hacking RNC, 2016 Black Pastor Stops Trump From Making 'Political Speech' at Michigan Church, 2016 Arie Kouandjio: Amid Anthem Protests Lineman Becomes Proud US Citizen, 2016 Rush Limbaugh: Hillary Isn't Working Hard Enough to Get Sick, 2016 Brazilian Ex-President Silva Charged in Corruption Probe, 2016 Lewandowski Reportedly Involved Again In Trump Campaign, 2016 'Dr. Oz' Audience Member: Trump Found to Be 'A Very Healthy Man', 2016 George W. Bush to Publish Book of Artwork; Tributes to Military Vets, 2016 Melania Trump Tweets Letters to Defend Immigration Status, 2016 Chaffetz Frustrated Over Clinton Aide's No-Show, 2016 Congress to Grill Mylan CEO on EpiPen Pricing, 2016 Former Obama Campaign Manager: Trump's Age Weight 'Legitimate Issue', 2016 ACLU Joins Campaign for Edward Snowden Pardon, 2016 Clinton Foundation Plans to Spin Off Health Initiative; Bill Chelsea to Step Down
9/13/2016,1, 2016 MSNBC: Trump Foundation Conflict of Interest Bombshell Coming in Newsweek Report, 2016 Buzzfeed: Leaked Colin Powell Emails Rip 'Racist' Trump as 'National Disgrace', 2016 Arizona Driver Hits Officers Faces Attempted Murder Charges, 2016 Poll: 60 Percent Would Stop Buying From Companies Dealing With Iran, 2016 New York AG Has Opened Investigation into Trump Foundation, 2016 House Dems Call on DOJ to Probe Trump Foundation's Donation to Bondi, 2016 CBS Called Out For Editing Out Bill Clinton 'Frequent' Comment on Wife's Health Issues, 2016 Dr. Oz: I'll Ask Trump 'Pointed Questions' About His Health on TV Show, 2016 Guccifer 2.0 Releases Latest Batch of Hacked DNC Documents, 2016 Clinton in Default in Benghazi Wrongful Death Suit, 2016 Cancer Tops Americans' Health Concerns, 2016 Chris Christie: Clinton an 'Elitist' Believes 'Basket of Deplorables' Remark, 2016 Does Apple's New iPhone Pose Health Risks?, 2016 House Conservatives Move Bill to Impeach IRS Director, 2016 Daily Beast: Trump Family Donated to DC Politicians Who Helped OK New Hotel, 2016 Katie Couric 'Under the Gun' Filmmakers Hit With $12M Defamation Suit, 2016 Freedom Alliance Asks Public to Petition NFL to Put End to Anthem Protests, 2016 Gary Johnson: There Will Be Another 'Aleppo Day', 2016 Taxpayer Bailout May Be Needed to Pay Obamacare Insurance Companies, 2016 Former Clinton Aide Skips Email Hearing
9/12/2016,1, 2016 Lochte Attacked on Stage Of 'Dancing With The Stars', 2016 O'Reilly: 'Despicable' for Hillary to Brand Trump Backers 'Racist', 2016 Analysts: Marijuana Industry to Expand to $50 Billion by 2026, 2016 Study Finds Similarity in Sounds Words Across Languages, 2016 NCAA Pulls 7 Postseason Events out of NC Due to LGBT Law, 2016 'Day of Jewish Unity' Hopes to Change Negative Political Climate, 2016 Bill Clinton: Hillary Has Been Dehydrated Before, 2016 NYT Editor Baquet Would Risk Prison to Publish Trump's Tax Returns, 2016 China Russia to Stage Military Drills in S.China Sea, 2016 LinkedIn Founder Offers $5 Million If Trump Releases Taxes, 2016 Obamacare Marketplaces 'Vulnerable to Fraud, 2016 This August Was Warmest Ever Recorded NASA Reports, 2016 Confusion Mounts Over Syria 'Cease-Fire' After Kerry Comments, 2016 Trouble Mounts for Green Beret Tim Brumit, 2016 #HillarysBodyDouble Trends on Twitter Amid Conspiracy Theories, 2016 McConnell: Zika Funding Bill Will Advance, 2016 Report: Trump Retains 11 Private Security Firms in Addition to Secret Service, 2016 Jill Stein on Osama bin Laden: I Would Not Have Assassinated Him, 2016 Bezos Announces New Rocket in Effort to Match Rivals in Orbit, 2016 Pompeo: 'Scores and Scores' of Benghazi Documents Not Yet Seen
9/9/2016,0, 2016 Appeals Court Blocks Proof-of-Citizenship Voting Requirement, 2016 Russia Continues Middle East Power Push in Israel-Palestine Conflict, 2016 US Agency: Samsung Galaxy Note 7 Too Dangerous to Use, 2016 North Korea's Fifth Nuclear Test Prompts U.S. Calls for More Sanctions, 2016 Dick Morris: 'Manchurian Candidate' Huma Abedin Is Islamic Agent, 2016 Hillary Clinton: National Security Experts 'Chilled' by Trump, 2016 Kerry: US and Russia Announce Syria Truce Plan, 2016 Ray Kelly: Officers Did Anti-Terror Work in 11 Cities After 9/11, 2016 Hillary's Cough Fits: 9 Medical Conditions She May Suffer, 2016 Stavridis: North Korea Could be World's 'Most Dangerous Country', 2016 Dick Morris: Trump Attacks Show Hillary Has No Message, 2016 Trump Says His Policy Would Have Kept 9/11 Attackers Out, 2016 Wisconsin AG Appeals Ruling on 'Making a Murderer' Nephew, 2016 Clinton to Visit Ground Zero on 9/11 Anniversary, 2016 Clinton Had Staff Research Alertness Drug Used for Parkinson's, 2016 Donald Trump to Appear on 'The Dr. Oz Show', 2016 US Judge Won't Halt Pipeline Opposed by Native Americans, 2016 Evan McMullin: Gary Johnson 'Not a Serious Candidate', 2016 Greta Van Susteren Regrets That 'Roger Ailes Was Not Supervised', 2016 Facebook Reverses Move to Censor 'Napalm Girl' Photo
9/8/2016,0, 2016 Geraldo Apologizes for Backing 'Deceitful Misogynist' Ailes, 2016 North Korea Earthquake Believed to Be Nuclear Test, 2016 Drones Will Soon Be Delivering Burritos on Virginia Tech Campus, 2016 White House Names Retired Air Force General as First Cyber Security Chief, 2016 1 in 5 Fish on Menus is Fake: Report, 2016 Trump Unveils Plan to Destroy 'Education Monopoly', 2016 Wells Fargo Fires 5300 Employees Over 2 Million Phony Accounts, 2016 Obama Administration May Have Sent Iran $33B in Cash Gold Payments, 2016 CNN: Even NBC Execs Sour on Lauer's Forum Performance 'Disaster', 2016 Barack Obama Has a Parasite Named After Him. Really., 2016 Prosecutors Plan to Drop McDonnell Corruption Case, 2016 Fox News: Special Ops Launched Failed Rescue Attempt of Kidnapped Profs in Afghanistan, 2016 Colin Powell Defends Himself Over Email Advice to Hillary, 2016 Gary Johnson's Disastrous 'What Is Aleppo?' Drawing Attention to War-Torn Syria City, 2016 Reporter Stops Trump Adviser Interview: Not Enough Time to Refute You, 2016 Clinton's Drug Proposals 'Very Negative' Pfizer CEO Says, 2016 Senate Close to Zika Funding Breakthrough, 2016 NBC: Trump Adviser Chastised for Repeatedly Interrupting Intel Briefing, 2016 Gen. Flynn: 'Serious Disconnect' Between Military Obama's White House, 2016 Obama to NY Times: Climate Change Trends Are 'Terrifying'
9/7/2016,0, 2016 Media Slam Matt Lauer For Not Challenging Trump on Opposing Iraq War Claim, 2016 Colin Powell Sent Hillary Email in 2009 on Avoiding State Dept. Servers, 2016 CNN: Ailes Started Advising Trump Before He Joined Race, 2016 State Department: Just One of 14900 New Hillary Emails on Benghazi, 2016 Lindsey Graham: Keep Troops in Mideast 'As Long as It Takes to Keep Us Safe', 2016 Paul Ryan: House Will Hold Vote on Whether to Impeach IRS Chief, 2016 Bill Kristol: Hillary Is 'Really Just Playing Defense', 2016 Louisiana Bakery Refuses to Write 'Trump 2016' on Teen's Birthday Cake, 2016 Comey Defends FBI's Holiday Weekend Release of Hillary Docs: 'We Don't Play Games', 2016 Rick Santorum: Trump Ripped Primary Opponents For Having His Current Immigration Plan, 2016 House to Vote on 9/11 Bill Permitting Lawsuits Against Saudi Arabia, 2016 Surprise! Americans Now Want to Work as Long as Possible New Study Reveals, 2016 Russian Jet Came Within 10 Feet of US Spy Plane, 2016 US Spy Chief Suggests Russia Behind DNC Hacks, 2016 Judicial Watch Emails: Hillary Accepts Benghazi Report Recommendations, 2016 Bill Clinton Accuses Trump of Corruption Over Pam Bondi Donation, 2016 Mexico's Finance Minister Leaves Amid Trump Visit Backlash, 2016 Ex-Fed Prosecutor: Expose 'Corrupt' Clinton in Congressional Hearings, 2016 Rubio Menendez Call For Halt to U.S.-Cuba Flights Until Security Ensured, 2016 What Clinton Won’t Say: Whether Garland Is Her High Court Pick
9/6/2016,0, 2016 Pollster John Zogby: Trump 'Can Actually Win', 2016 Jeb Bush Wants 'People Marching in the Streets' for Education Reform, 2016 Report: Clinton Charities Ignore Laws Requiring IDs of Foreign Donors, 2016 Report: Fox Settles With More Women in Ailes Case, 2016 Liberals Launch New Assault on Gun Makers: 'Some Guns May Be Dangerous', 2016 Book Details Rampant Crystal Meth Use in Nazi Germany Military, 2016 Gabriel Sherman Reporter Who Broke Ailes Stories Named Contributor At NBC News MSNBC, 2016 White House Plans Test Program to Stop Obamacare Scammers, 2016 Rep. Kevin McCarthy: Democrats Will Be Punished for Sit-in, 2016 Obama Gas Prices Poise Hillary for November Victory, 2016 Leaders Stalling Threat to Impeach IRS's John Koskinen, 2016 Iranian Boats Harass US Naval Ships Force Evasive Actions, 2016 Officials at Fort Bragg Report 5 Travel-related Zika Cases, 2016 World's Largest Asset Manager BlackRock Calls on Investors to Assess Effect of Climate Change, 2016 Mark Cuban: 'Market Tanks' If Donald Trump Wins, 2016 Report: ISIS Claims 729 Suicide Attacks So Far This Year, 2016 House GOP Backs Paul Ryan's Attack on Obama Administration Defense Memo, 2016 How to Get Cheaper EpiPen Alternative, 2016 Some Sanders Supporters Refuse to Move Toward Support for Clinton, 2016 Joe Scarborough: FBI 'Sullied' by Comey on Hillary Emails
9/2/2016,1, 2016 Report: American Kidnapped in 2004 Forced to Work for Kim Jong Un, 2016 Peter King: Colin Kaepernick Is a 'Disgrace' for 'Raising a Totally Phony Issue', 2016 Larry Kudlow: JFK Would Be 'Supply-Side Republican' Today, 2016 Most Antibacterial Soap Ingredients Banned From US by FDA, 2016 Putin Blasts Trump Clinton for 'Shock' Campaign Tactics, 2016 Trump Campaign Paul Ryan Slam Hillary After FBI Releases Email Documents, 2016 Poll: Americans Think Mexico Should Pay US for Illegal Immigration Costs, 2016 Blue Cross to Congress: Protect Obamacare Insurer Fund, 2016 Henry Kissinger George Shultz Likely to Endorse Clinton, 2016 FBI Releases Summary of Clinton Email Probe Interview, 2016 Daily Caller Reveals State Dept. Staff Hired by Teneo, 2016 Think Tank: North Korea Military Gets 'Serious' Upgrades, 2016 James Carville: GOP is 'Committing Suicide', 2016 NY Mag: Fox News Obtained Media Critic's Private Phone Records, 2016 WSJ: Trump Line on Wall Payment Added After Mexican President's Tweet, 2016 Why Coke Lowers Blood Sugar And Can Even Reverse Diabetes, 2016 Senate Prepares for Showdown Over Funding Bills, 2016 Feds Spend $499571 to Fight 'Online Trolling', 2016 Huckabee: Hillary Wants Conservatives to Vote Third Party Assure Her Victory, 2016 NBC's Lester Holt to Moderate First Presidential Debate
9/1/2016,1, 2016 NFL's Kaepernick Kneels During Performance of National Anthem Continuing Protest, 2016 Dwyane Wade 'Conflicted' Over Controversial Trump Tweet About Cousin's Death, 2016 Clinton Aide Sought Diplomatic Passport to Rescue Americans in NKorea, 2016 Abedin to Host Fashion Show Fundraiser After Split From Weiner, 2016 State Dept. to Give AP All Clinton Schedules Before Election, 2016 Trump Doctor Defends Letter Before Wife Breaks Up Interview, 2016 CNN's Chris Cuomo Calls Out Tim Kaine Over 'Phantom' Sanctuary Cities Remark, 2016 Mel Gibson Confirms Sequel to 'Passion of the Christ', 2016 Colin Kaepernick Cites Cop Uncles in Defending Socks Showing Police as Pigs, 2016 Trump Slams Clinton's Role in Iran Nuclear Deal Anew After Reuters Report, 2016 Trump's Wife Files Suit Against Blogger Daily Mail Over 'Escort' Reports, 2016 LifeZette: Trump Mulls Using Seized Drug Money to Fund Border Wall, 2016 Ann Coulter: 'Unified Media Attack' on Trump 'Worse Than' McCarthy Nixon Goldwater Frenzies, 2016 Cable Channel HLN Censors Trump T-Shirt, 2016 Joe Biden Won't Say Whether Clinton Foundation Is '100 Percent Ethical', 2016 Ex-George W. Bush Ambassador Garza: Trump Pena Nieto Meeting Doesn't Change Anything, 2016 New York Times: Border Patrol Struggles To Find Smugglers' Tunnels, 2016 Florida Braces for First Hurricane in More than a Decade, 2016 Dallas Chief Who Oversaw Response to Sniper Attack to Retire, 2016 Janet Napolitano: Trump's 'Extreme Vetting' Call Means 'Ideological Screening'
